half_wavelength_mm, fcr_MPa, Pcr_kN
1935.0, 90.1858, 15.39725
1940.0, 89.7577, 15.32416
1945.0, 89.3328, 15.25162
1950.0, 88.9111, 15.17963
1955.0, 88.4926, 15.10818
1960.0, 88.0773, 15.03728
1965.0, 87.6652, 14.96691
1970.0, 87.2561, 14.89706
1975.0, 86.8500, 14.82774
1980.0, 86.4471, 14.75895
1985.0, 86.0471, 14.69066
1990.0, 85.6501, 14.62288
1995.0, 85.2560, 14.55560
2000.0, 84.8649, 14.48883
2005.0, 84.4767, 14.42254
2010.0, 84.0913, 14.35675
2015.0, 83.7087, 14.29144
2020.0, 83.3290, 14.22660
2025.0, 82.9520, 14.16225
2030.0, 82.5778, 14.09836
2035.0, 82.2064, 14.03494
2040.0, 81.8376, 13.97197
2045.0, 81.4714, 13.90947
2050.0, 81.1080, 13.84742
2055.0, 80.7472, 13.78581
2060.0, 80.3889, 13.72464
2065.0, 80.0332, 13.66392
2070.0, 79.6801, 13.60364
2075.0, 79.3295, 13.54378
2080.0, 78.9814, 13.48435
2085.0, 78.6358, 13.42534
2090.0, 78.2926, 13.36675
2095.0, 77.9519, 13.30858
2100.0, 77.6136, 13.25082
2105.0, 77.2776, 13.19346
2110.0, 76.9440, 13.13651
2115.0, 76.6128, 13.07996
2120.0, 76.2839, 13.02380
2125.0, 75.9573, 12.96804
2130.0, 75.6329, 12.91266
2135.0, 75.3108, 12.85767
2140.0, 74.9910, 12.80307
2145.0, 74.6733, 12.74883
2150.0, 74.3578, 12.69497
2155.0, 74.0446, 12.64149
2160.0, 73.7334, 12.58837
2165.0, 73.4245, 12.53562
2170.0, 73.1176, 12.48323
2175.0, 72.8128, 12.43119
2180.0, 72.5101, 12.37951
2185.0, 72.2094, 12.32818
2190.0, 71.9108, 12.27720
2195.0, 71.6143, 12.22657
2200.0, 71.3197, 12.17627
2205.0, 71.0271, 12.12631
2210.0, 70.7365, 12.07670
2215.0, 70.4478, 12.02741
2220.0, 70.1610, 11.97846
2225.0, 69.8762, 11.92983
2230.0, 69.5932, 11.88152
2235.0, 69.3122, 11.83354
2240.0, 69.0330, 11.78587
2245.0, 68.7556, 11.73852
2250.0, 68.4801, 11.69148
2255.0, 68.2065, 11.64476
2260.0, 67.9346, 11.59834
2265.0, 67.6645, 11.55222
2270.0, 67.3961, 11.50641
2275.0, 67.1295, 11.46090
2280.0, 66.8647, 11.41568
2285.0, 66.6015, 11.37075
2290.0, 66.3401, 11.32612
2295.0, 66.0804, 11.28178
2300.0, 65.8223, 11.23772
2305.0, 65.5660, 11.19395
2310.0, 65.3113, 11.15047
2315.0, 65.0582, 11.10726
2320.0, 64.8067, 11.06432
2325.0, 64.5568, 11.02167
2330.0, 64.3086, 10.97928
2335.0, 64.0619, 10.93716
2340.0, 63.8168, 10.89532
2345.0, 63.5732, 10.85373
2350.0, 63.3312, 10.81241
2355.0, 63.0907, 10.77136
2360.0, 62.8517, 10.73055
2365.0, 62.6142, 10.69001
2370.0, 62.3783, 10.64973
2375.0, 62.1438, 10.60969
2380.0, 61.9107, 10.56990
2385.0, 61.6791, 10.53036
2390.0, 61.4490, 10.49108
2395.0, 61.2203, 10.45203
2400.0, 60.9930, 10.41322
2405.0, 60.7671, 10.37466
2410.0, 60.5427, 10.33633
2415.0, 60.3195, 10.29824
