mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
25, 19.7979, 4.4507, 115.962, 16.8188, local, 0.148, 0.029, 0.280, 0.318, 0.185, 1.15, 17, 13, 7, 7, 
26, 19.8263, 4.4571, 116.128, 16.8429, local-hole, 0.186, 0.040, 0.238, 0.267, 0.234, 2.47, 34, 10, 5, 5, 
27, 19.9634, 4.4880, 116.931, 16.9594, local-hole, 0.159, 0.036, 0.237, 0.265, 0.152, 2.03, 23, 13, 7, 7, 
28, 20.1039, 4.5195, 117.754, 17.0788, local-hole, 0.479, 0.021, 0.217, 0.245, 0.284, 4.08, 18, 4, 2, 2, 
29, 20.1054, 4.5199, 117.763, 17.0800, local-hole, 0.458, 0.023, 0.215, 0.243, 0.293, 4.11, 18, 3, 2, 2, 
30, 20.1241, 4.5241, 117.872, 17.0959, local, 0.179, 0.046, 0.274, 0.325, 0.155, 1.01, 20, 8, 4, 4, 
31, 20.3520, 4.5753, 119.207, 17.2895, local-hole, 0.161, 0.029, 0.186, 0.205, 0.232, 2.36, 24, 4, 2, 2, 
32, 20.5378, 4.6171, 120.295, 17.4473, local-hole, 0.099, 0.011, 0.190, 0.216, 0.272, 2.60, 15, 11, 6, 6, 
33, 20.7823, 4.6720, 121.727, 17.6551, local-hole, 0.529, 0.018, 0.226, 0.253, 0.268, 3.94, 16, 4, 2, 2, 
34, 20.8398, 4.6850, 122.064, 17.7039, local, 0.176, 0.033, 0.178, 0.207, 0.206, 1.42, 16, 8, 4, 4, 
35, 20.9098, 4.7007, 122.474, 17.7634, local-hole, 0.328, 0.023, 0.190, 0.218, 0.332, 4.58, 15, 7, 4, 4, 
36, 20.9113, 4.7010, 122.483, 17.7646, local-hole, 0.234, 0.022, 0.188, 0.216, 0.304, 3.53, 15, 3, 2, 2, 
37, 21.0320, 4.7282, 123.190, 17.8672, local-hole, 0.367, 0.013, 0.038, 0.044, 0.854, 22.84, 21, 8, 4, 4, 
38, 21.0325, 4.7283, 123.193, 17.8676, local-hole, 0.287, 0.009, 0.035, 0.045, 0.849, 22.10, 18, 7, 4, 4, 
39, 21.5772, 4.8507, 126.383, 18.3303, local, 0.162, 0.016, 0.111, 0.134, 0.119, 0.71, 16, 15, 8, 8, 
40, 21.5792, 4.8512, 126.395, 18.3321, local, 0.168, 0.020, 0.113, 0.139, 0.124, 0.72, 15, 14, 7, 7, 
41, 21.7675, 4.8935, 127.498, 18.4920, local-hole, 0.503, 0.015, 0.045, 0.052, 0.840, 19.25, 31, 8, 4, 4, 
42, 21.7691, 4.8939, 127.507, 18.4934, local-hole, 0.426, 0.012, 0.046, 0.054, 0.840, 18.69, 26, 7, 4, 4, 
43, 22.2325, 4.9981, 130.222, 18.8871, local, 0.172, 0.037, 0.161, 0.193, 0.115, 0.88, 14, 16, 8, 8, 
44, 22.2983, 5.0129, 130.607, 18.9430, local, 0.158, 0.016, 0.147, 0.188, 0.107, 0.82, 23, 13, 7, 7, 
45, 22.3111, 5.0157, 130.682, 18.9539, local, 0.160, 0.029, 0.149, 0.179, 0.128, 0.84, 17, 11, 6, 6, 
46, 22.4471, 5.0463, 131.479, 19.0694, local, 0.177, 0.035, 0.152, 0.178, 0.121, 1.00, 22, 16, 8, 8, 
47, 22.9694, 5.1637, 134.538, 19.5130, local, 0.160, 0.013, 0.081, 0.097, 0.110, 0.67, 12, 10, 5, 5, 
48, 23.1152, 5.1965, 135.392, 19.6369, local, 0.157, 0.034, 0.196, 0.237, 0.123, 0.94, 29, 11, 6, 6, 
49, 23.8081, 5.3523, 139.451, 20.2256, local, 0.128, 0.044, 0.293, 0.338, 0.161, 1.12, 18, 6, 3, 3, 
50, 23.8699, 5.3662, 139.812, 20.2781, local, 0.143, 0.040, 0.262, 0.301, 0.164, 1.08, 23, 5, 3, 3, 
51, 24.6248, 5.5359, 144.234, 20.9193, local, 0.138, 0.058, 0.371, 0.437, 0.145, 1.31, 30, 4, 2, 2, 
52, 24.8348, 5.5831, 145.464, 21.0977, local, 0.146, 0.053, 0.341, 0.377, 0.139, 1.02, 39, 7, 4, 4, 
53, 25.3368, 5.6960, 148.405, 21.5243, local, 0.266, 0.096, 0.341, 0.401, 0.121, 1.09, 32, 4, 2, 2, 
54, 25.7483, 5.7884, 150.814, 21.8738, local, 0.195, 0.071, 0.365, 0.433, 0.075, 0.74, 37, 3, 2, 2, 
55, 26.0160, 5.8486, 152.383, 22.1012, distortional, 0.229, 0.114, 0.515, 0.599, 0.066, 0.89, 30, 10, 5, 5, 
56, 26.4844, 5.9539, 155.126, 22.4991, local, 0.176, 0.046, 0.283, 0.317, 0.067, 0.60, 15, 3, 2, 2, 
57, 26.7399, 6.0114, 156.623, 22.7162, distortional, 0.128, 0.064, 0.515, 0.584, 0.102, 1.38, 21, 5, 3, 3, 
58, 26.8620, 6.0388, 157.338, 22.8199, distortional, 0.134, 0.071, 0.528, 0.599, 0.085, 1.62, 20, 4, 2, 2, 
59, 27.7077, 6.2289, 162.291, 23.5384, local, 0.135, 0.070, 0.476, 0.543, 0.143, 1.43, 16, 6, 3, 3, 
60, 27.8460, 6.2600, 163.102, 23.6559, local, 0.202, 0.069, 0.294, 0.302, 0.114, 0.81, 23, 11, 6, 6, 
61, 28.1263, 6.3230, 164.743, 23.8940, local, 0.246, 0.104, 0.433, 0.496, 0.081, 0.88, 26, 8, 4, 4, 
62, 28.5656, 6.4218, 167.316, 24.2672, local, 0.159, 0.061, 0.342, 0.383, 0.130, 1.28, 39, 5, 3, 3, 
63, 29.0323, 6.5267, 170.050, 24.6637, local-hole, 0.631, 0.055, 0.372, 0.413, 0.155, 2.42, 11, 4, 2, 3, 
64, 29.0360, 6.5275, 170.071, 24.6668, local-hole, 0.486, 0.030, 0.355, 0.401, 0.198, 2.49, 20, 3, 2, 2, 
65, 29.0762, 6.5366, 170.307, 24.7010, local, 0.166, 0.027, 0.205, 0.238, 0.191, 1.05, 11, 15, 8, 8, 
66, 29.1021, 6.5424, 170.459, 24.7229, local, 0.357, 0.135, 0.496, 0.549, 0.089, 1.18, 32, 2, 1, 1, 
67, 29.6867, 6.6738, 173.883, 25.2196, distortional, 0.178, 0.095, 0.613, 0.659, 0.054, 0.93, 15, 5, 3, 3, 
68, 30.0018, 6.7447, 175.728, 25.4872, local-hole, 0.792, 0.108, 0.443, 0.472, 0.101, 2.12, 14, 4, 2, 2, 
69, 30.0325, 6.7516, 175.908, 25.5133, distortional, 0.232, 0.144, 0.682, 0.749, 0.081, 1.11, 46, 4, 2, 3, 
70, 30.1634, 6.7810, 176.675, 25.6245, local-hole, 0.406, 0.039, 0.305, 0.353, 0.265, 2.83, 46, 2, 1, 2, 
71, 30.4751, 6.8511, 178.501, 25.8894, distortional, 0.152, 0.115, 0.750, 0.821, 0.065, 0.96, 33, 3, 2, 2, 
72, 30.9755, 6.9636, 181.432, 26.3144, distortional, 0.159, 0.127, 0.719, 0.788, 0.067, 0.95, 36, 4, 2, 2, 
73, 31.7694, 7.1420, 186.082, 26.9889, local, 0.146, 0.058, 0.338, 0.355, 0.130, 1.40, 45, 5, 3, 3, 
74, 32.0901, 7.2141, 187.960, 27.2613, distortional, 0.180, 0.148, 0.844, 0.932, 0.103, 1.05, 38, 10, 5, 5, 
75, 32.7178, 7.3553, 191.637, 27.7946, local, 0.149, 0.062, 0.344, 0.377, 0.126, 1.25, 31, 5, 3, 3, 
76, 33.1346, 7.4490, 194.078, 28.1487, local, 0.213, 0.086, 0.341, 0.370, 0.119, 1.16, 22, 2, 1, 1, 
77, 34.1544, 7.6782, 200.051, 29.0150, local, 0.228, 0.092, 0.420, 0.455, 0.065, 0.72, 29, 3, 2, 2, 
78, 34.3803, 7.7290, 201.375, 29.2069, local, 0.208, 0.104, 0.410, 0.457, 0.091, 0.92, 12, 6, 3, 3, 
79, 34.6654, 7.7931, 203.045, 29.4491, global, 0.999, 0.628, 1.000, 0.927, 0.017, 0.48, 11, 2, 1, 1, strong-axis flexure + torsion
80, 34.7342, 7.8086, 203.448, 29.5076, local, 0.183, 0.110, 0.450, 0.487, 0.044, 0.61, 11, 7, 4, 4, 
81, 35.0794, 7.8862, 205.470, 29.8009, distortional, 0.170, 0.089, 0.574, 0.611, 0.032, 0.63, 20, 6, 3, 3, 
82, 35.1276, 7.8970, 205.752, 29.8418, local-hole, 0.244, 0.020, 0.095, 0.114, 0.683, 5.79, 22, 9, 5, 4, 
83, 35.1406, 7.8999, 205.828, 29.8528, global, 0.997, 0.458, 0.755, 0.701, 0.027, 1.32, 5, 2, 1, 1, strong-axis flexure + torsion
84, 35.4389, 7.9670, 207.575, 30.1062, distortional, 0.152, 0.103, 0.831, 0.904, 0.031, 0.77, 9, 5, 3, 3, 
85, 35.5903, 8.0010, 208.462, 30.2349, distortional, 0.139, 0.109, 0.800, 0.872, 0.021, 0.64, 10, 6, 3, 3, 
86, 35.8981, 8.0702, 210.265, 30.4963, distortional, 0.170, 0.219, 0.935, 1.000, 0.015, 0.41, 5, 5, 3, 3, 
87, 36.1108, 8.1180, 211.511, 30.6770, distortional, 0.133, 0.115, 0.922, 1.000, 0.013, 0.60, 6, 6, 3, 3, 
88, 36.3566, 8.1733, 212.950, 30.8858, local-hole, 0.296, 0.023, 0.057, 0.090, 0.716, 6.82, 8, 8, 4, 5, 
89, 36.3590, 8.1738, 212.964, 30.8879, local-hole, 0.978, 0.144, 0.263, 0.247, 0.134, 3.79, 11, 6, 3, 3, 
90, 36.6296, 8.2347, 214.549, 31.1177, local, 0.174, 0.074, 0.485, 0.502, 0.036, 0.66, 21, 7, 4, 4, 
91, 37.1167, 8.3442, 217.403, 31.5316, distortional, 0.128, 0.100, 0.647, 0.682, 0.059, 0.98, 18, 6, 3, 3, 
92, 38.0091, 8.5448, 222.630, 32.2897, distortional, 0.147, 0.121, 0.612, 0.650, 0.027, 0.63, 15, 7, 4, 4, 
93, 38.5487, 8.6661, 225.790, 32.7481, distortional, 0.162, 0.133, 0.904, 0.990, 0.029, 0.63, 4, 4, 2, 2, 
94, 38.8640, 8.7370, 227.637, 33.0159, distortional, 0.160, 0.127, 0.839, 0.909, 0.026, 0.60, 12, 4, 2, 2, 
95, 39.4028, 8.8581, 230.792, 33.4736, local, 0.174, 0.033, 0.232, 0.234, 0.150, 0.85, 53, 25, 13, 13, 
96, 39.8369, 8.9557, 233.336, 33.8425, distortional, 0.135, 0.098, 0.643, 0.688, 0.090, 1.11, 26, 6, 3, 3, 
97, 40.7823, 9.1682, 238.873, 34.6456, distortional, 0.149, 0.095, 0.596, 0.655, 0.067, 1.18, 35, 7, 4, 4, 
98, 41.1523, 9.2514, 241.040, 34.9599, distortional, 0.188, 0.135, 0.808, 0.855, 0.055, 1.00, 16, 4, 2, 2, 
99, 41.4007, 9.3072, 242.495, 35.1709, distortional, 0.227, 0.185, 0.685, 0.760, 0.050, 0.68, 11, 5, 3, 3, 
100, 42.1985, 9.4866, 247.168, 35.8487, distortional, 0.204, 0.151, 0.695, 0.769, 0.082, 1.30, 16, 6, 3, 3, 
101, 42.3785, 9.5271, 248.222, 36.0016, distortional, 0.179, 0.196, 0.947, 0.996, 0.090, 1.00, 11, 3, 2, 2, 
102, 42.7502, 9.6106, 250.400, 36.3174, distortional, 0.171, 0.136, 0.776, 0.840, 0.069, 1.09, 7, 5, 3, 3, 
103, 43.1348, 9.6971, 252.652, 36.6441, distortional, 0.123, 0.091, 0.615, 0.662, 0.114, 1.45, 14, 6, 3, 3, 
104, 43.9379, 9.8776, 257.356, 37.3264, distortional, 0.107, 0.136, 0.699, 0.729, 0.125, 1.37, 13, 7, 4, 4, 
105, 44.1243, 9.9195, 258.448, 37.4847, distortional, 0.334, 0.231, 0.759, 0.817, 0.114, 1.13, 20, 4, 2, 2, 
106, 44.3105, 9.9614, 259.539, 37.6429, distortional, 0.157, 0.170, 0.764, 0.837, 0.138, 1.19, 12, 4, 2, 2, 
107, 45.3484, 10.1947, 265.618, 38.5246, distortional, 0.286, 0.234, 0.898, 1.000, 0.018, 0.49, 7, 3, 2, 2, 
108, 45.9552, 10.3311, 269.172, 39.0401, global, 0.854, 0.591, 0.754, 0.865, 0.040, 0.65, 2, 2, 1, 1, weak-axis flexure
109, 46.4724, 10.4474, 272.201, 39.4795, local, 0.366, 0.304, 0.954, 1.000, 0.039, 0.77, 7, 3, 2, 2, 
110, 46.5489, 10.4646, 272.649, 39.5444, local, 0.498, 0.067, 0.427, 0.519, 0.136, 1.93, 7, 3, 2, 2, 
111, 46.5545, 10.4659, 272.682, 39.5492, local-hole, 0.454, 0.077, 0.373, 0.480, 0.184, 2.08, 9, 4, 3, 2, 
112, 47.2101, 10.6133, 276.522, 40.1061, global, 0.941, 0.765, 0.822, 0.910, 0.059, 0.81, 2, 2, 1, 1, weak-axis flexure
113, 47.8099, 10.7481, 280.035, 40.6157, local, 0.559, 0.303, 0.707, 0.774, 0.078, 1.04, 16, 4, 2, 2, 
114, 47.9965, 10.7900, 281.128, 40.7742, local, 0.456, 0.070, 0.388, 0.500, 0.167, 2.00, 35, 4, 3, 1, 
115, 48.0277, 10.7971, 281.311, 40.8007, local, 0.218, 0.080, 0.361, 0.427, 0.138, 1.42, 33, 5, 2, 4, 
116, 48.0370, 10.7991, 281.365, 40.8086, local-hole, 0.377, 0.054, 0.335, 0.447, 0.213, 2.24, 31, 5, 3, 3, 
117, 48.4092, 10.8828, 283.546, 41.1248, local, 0.149, 0.028, 0.021, 0.278, 0.001, 0.03, 15, 11, 6, 6, 
118, 48.4094, 10.8829, 283.547, 41.1250, local, 0.151, 0.028, 0.022, 0.278, 0.002, 0.04, 16, 10, 5, 5, 
119, 49.1222, 11.0431, 287.722, 41.7305, distortional, 0.227, 0.209, 0.705, 0.801, 0.095, 1.13, 12, 8, 4, 4, 
120, 49.3427, 11.0927, 289.013, 41.9178, local, 0.388, 0.342, 0.845, 0.944, 0.044, 1.00, 5, 3, 2, 2, 
121, 49.4986, 11.1277, 289.927, 42.0503, distortional, 0.281, 0.184, 0.632, 0.702, 0.099, 1.13, 10, 4, 2, 2, 
122, 49.9568, 11.2307, 292.610, 42.4395, local, 0.392, 0.324, 0.861, 1.000, 0.053, 0.79, 7, 3, 2, 2, 
123, 50.6060, 11.3767, 296.413, 42.9911, global, 0.654, 0.274, 0.527, 0.592, 0.080, 1.32, 16, 2, 1, 1, weak-axis flexure
124, 50.7756, 11.4148, 297.406, 43.1352, local, 0.207, 0.042, 0.105, 0.360, 0.032, 0.35, 9, 29, 15, 15, 
125, 50.7771, 11.4152, 297.415, 43.1364, local, 0.207, 0.041, 0.074, 0.369, 0.033, 0.37, 9, 32, 16, 16, 
126, 50.8426, 11.4299, 297.799, 43.1920, distortional, 0.135, 0.085, 0.687, 0.738, 0.122, 1.13, 9, 9, 5, 5, 
127, 51.1261, 11.4936, 299.459, 43.4329, local, 0.173, 0.032, 0.051, 0.366, 0.007, 0.21, 9, 25, 16, 18, 
128, 51.1263, 11.4937, 299.461, 43.4331, local, 0.173, 0.032, 0.046, 0.366, 0.007, 0.20, 11, 23, 16, 17, 
129, 51.2119, 11.5129, 299.962, 43.5058, local, 0.176, 0.033, 0.103, 0.394, 0.009, 0.25, 11, 36, 22, 23, 
130, 51.2123, 11.5130, 299.964, 43.5061, local, 0.176, 0.032, 0.105, 0.396, 0.009, 0.26, 9, 37, 21, 22, 
131, 51.7794, 11.6405, 303.286, 43.9878, local, 0.190, 0.045, 0.081, 0.432, 0.025, 0.33, 14, 49, 25, 25, 
132, 51.7937, 11.6437, 303.369, 44.0000, local, 0.181, 0.035, 0.109, 0.418, 0.026, 0.37, 12, 50, 26, 24, 
133, 51.9067, 11.6691, 304.031, 44.0960, distortional, 0.178, 0.200, 0.768, 0.793, 0.103, 1.11, 15, 7, 4, 4, 
134, 52.0118, 11.6927, 304.647, 44.1853, local, 0.181, 0.038, 0.118, 0.383, 0.016, 0.29, 10, 47, 24, 24, 
135, 52.0275, 11.6962, 304.739, 44.1986, local, 0.190, 0.036, 0.114, 0.401, 0.019, 0.30, 9, 44, 22, 22, 
136, 52.1076, 11.7142, 305.208, 44.2667, local, 0.196, 0.037, 0.091, 0.473, 0.021, 0.28, 24, 42, 21, 21, 
137, 52.1355, 11.7205, 305.372, 44.2904, local, 0.188, 0.060, 0.123, 0.458, 0.032, 0.55, 19, 43, 22, 22, 
138, 52.1963, 11.7342, 305.727, 44.3420, local, 0.228, 0.107, 0.305, 0.483, 0.093, 0.71, 12, 36, 18, 18, 
139, 52.2004, 11.7351, 305.752, 44.3456, local, 0.310, 0.177, 0.414, 0.486, 0.152, 1.22, 12, 17, 11, 7, 
140, 52.2037, 11.7359, 305.771, 44.3484, local, 0.297, 0.171, 0.417, 0.476, 0.154, 1.26, 14, 15, 7, 9, 
141, 52.6332, 11.8324, 308.287, 44.7132, local, 0.234, 0.050, 0.126, 0.488, 0.036, 0.47, 11, 46, 23, 23, 
142, 52.8001, 11.8699, 309.264, 44.8550, global, 0.784, 0.351, 0.457, 0.502, 0.120, 1.15, 10, 2, 1, 1, weak-axis flexure
143, 52.8907, 11.8903, 309.795, 44.9320, local, 0.214, 0.047, 0.117, 0.458, 0.032, 0.33, 9, 20, 9, 12, 
144, 52.9365, 11.9006, 310.063, 44.9709, distortional, 0.245, 0.142, 0.519, 0.548, 0.147, 1.18, 15, 5, 3, 3, 
145, 53.0341, 11.9225, 310.635, 45.0538, local, 0.232, 0.083, 0.140, 0.432, 0.058, 0.68, 17, 43, 22, 22, 
146, 53.1546, 11.9496, 311.341, 45.1562, local, 0.194, 0.041, 0.143, 0.429, 0.048, 0.73, 10, 48, 24, 24, 
147, 53.7172, 12.0761, 314.636, 45.6341, local, 0.196, 0.065, 0.131, 0.482, 0.060, 0.71, 6, 49, 25, 25, 
148, 53.8220, 12.0997, 315.250, 45.7231, local, 0.189, 0.040, 0.152, 0.446, 0.043, 0.51, 16, 46, 23, 23, 
149, 54.0487, 12.1506, 316.577, 45.9157, local, 0.204, 0.052, 0.182, 0.463, 0.051, 0.64, 56, 45, 23, 23, 
150, 54.0610, 12.1534, 316.650, 45.9262, local, 0.195, 0.041, 0.099, 0.386, 0.051, 0.53, 20, 40, 20, 20, 
151, 54.1898, 12.1823, 317.404, 46.0356, local, 0.241, 0.064, 0.171, 0.504, 0.038, 0.44, 54, 41, 22, 20, 
152, 54.2129, 12.1875, 317.539, 46.0552, distortional, 0.184, 0.182, 0.719, 0.779, 0.113, 1.22, 50, 4, 2, 2, 
153, 54.7201, 12.3016, 320.510, 46.4861, distortional, 0.380, 0.218, 0.696, 0.772, 0.077, 1.24, 35, 3, 2, 2, 
154, 54.7636, 12.3114, 320.765, 46.5231, local, 0.196, 0.033, 0.117, 0.492, 0.046, 0.45, 30, 30, 15, 15, 
155, 55.0440, 12.3744, 322.407, 46.7612, local, 0.199, 0.051, 0.135, 0.451, 0.060, 0.64, 3, 44, 21, 23, 
156, 55.1676, 12.4022, 323.131, 46.8662, local, 0.190, 0.043, 0.077, 0.473, 0.058, 0.70, 5, 41, 21, 21, 
157, 55.5119, 12.4796, 325.148, 47.1587, local, 0.193, 0.056, 0.174, 0.545, 0.084, 0.85, 5, 58, 30, 28, 
158, 55.5563, 12.4896, 325.408, 47.1965, local, 0.434, 0.350, 0.850, 0.965, 0.071, 1.04, 3, 3, 2, 2, 
159, 55.6775, 12.5168, 326.118, 47.2994, local, 0.232, 0.062, 0.211, 0.421, 0.063, 0.60, 9, 53, 27, 27, 
160, 55.7785, 12.5395, 326.709, 47.3852, local, 0.402, 0.309, 0.684, 0.797, 0.100, 1.25, 62, 10, 5, 5, 
161, 56.2225, 12.6393, 329.310, 47.7624, local, 0.214, 0.039, 0.116, 0.471, 0.038, 0.49, 15, 44, 22, 22, 
162, 56.5265, 12.7077, 331.091, 48.0207, local, 0.233, 0.110, 0.341, 0.525, 0.056, 0.83, 3, 47, 24, 24, 
163, 56.6352, 12.7321, 331.728, 48.1130, local, 0.450, 0.304, 0.800, 0.921, 0.071, 1.09, 5, 3, 2, 2, 
164, 56.7481, 12.7575, 332.389, 48.2089, local, 0.242, 0.066, 0.256, 0.445, 0.045, 0.73, 4, 40, 20, 20, 
165, 57.1219, 12.8415, 334.578, 48.5264, local, 0.220, 0.060, 0.222, 0.487, 0.056, 0.79, 14, 35, 18, 18, 
166, 57.3346, 12.8893, 335.824, 48.7072, global, 0.790, 0.442, 0.591, 0.551, 0.091, 1.21, 52, 2, 1, 1, weak-axis flexure
167, 57.9640, 13.0308, 339.511, 49.2419, local, 0.200, 0.044, 0.199, 0.428, 0.084, 0.95, 30, 48, 23, 25, 
168, 58.2113, 13.0864, 340.959, 49.4520, local, 0.233, 0.045, 0.195, 0.500, 0.061, 0.80, 30, 37, 19, 19, 
169, 58.2903, 13.1042, 341.422, 49.5191, local, 0.403, 0.296, 0.690, 0.795, 0.077, 1.26, 17, 3, 2, 2, 
170, 58.3699, 13.1221, 341.888, 49.5866, local, 0.371, 0.125, 0.335, 0.560, 0.060, 0.78, 19, 35, 18, 18, 
171, 58.4439, 13.1387, 342.321, 49.6495, local, 0.222, 0.057, 0.276, 0.604, 0.062, 0.77, 25, 32, 17, 16, 
172, 59.0553, 13.2762, 345.903, 50.1689, global, 0.628, 0.356, 0.495, 0.575, 0.100, 1.31, 66, 4, 2, 2, weak-axis flexure
173, 59.0656, 13.2785, 345.963, 50.1777, local, 0.237, 0.078, 0.252, 0.509, 0.051, 0.62, 68, 44, 22, 22, 
174, 59.3056, 13.3324, 347.369, 50.3816, local, 0.223, 0.082, 0.284, 0.756, 0.064, 0.98, 66, 39, 20, 20, 
175, 59.6839, 13.4175, 349.585, 50.7030, local, 0.234, 0.044, 0.172, 0.635, 0.051, 0.57, 82, 37, 19, 19, 
176, 60.0176, 13.4925, 351.539, 50.9864, local, 0.254, 0.097, 0.290, 0.514, 0.055, 0.92, 15, 44, 21, 23, 
177, 60.1208, 13.5157, 352.144, 51.0741, local, 0.491, 0.346, 0.816, 0.968, 0.074, 1.03, 15, 7, 4, 4, 
178, 60.6377, 13.6319, 355.171, 51.5132, local, 0.210, 0.042, 0.192, 0.483, 0.082, 1.08, 56, 63, 32, 32, 
179, 60.8242, 13.6738, 356.264, 51.6717, distortional, 0.286, 0.218, 0.638, 0.727, 0.122, 1.23, 84, 12, 6, 6, 
180, 61.2887, 13.7783, 358.984, 52.0663, local, 0.210, 0.049, 0.155, 0.482, 0.061, 0.84, 54, 46, 23, 23, 
181, 61.6634, 13.8625, 361.179, 52.3846, local, 0.344, 0.190, 0.497, 0.669, 0.127, 1.04, 65, 25, 13, 13, 
182, 61.8680, 13.9085, 362.377, 52.5584, local, 0.213, 0.032, 0.113, 0.438, 0.052, 0.62, 74, 47, 23, 25, 
183, 62.2095, 13.9852, 364.377, 52.8485, local, 0.207, 0.033, 0.124, 0.417, 0.070, 0.68, 85, 44, 22, 22, 
184, 62.4363, 14.0362, 365.706, 53.0412, distortional, 0.236, 0.184, 0.540, 0.832, 0.112, 1.20, 86, 26, 13, 13, 
185, 62.6985, 14.0952, 367.242, 53.2639, local, 0.264, 0.065, 0.215, 0.465, 0.054, 0.77, 82, 47, 24, 24, 
186, 62.7672, 14.1106, 367.644, 53.3223, local, 0.250, 0.044, 0.219, 0.578, 0.052, 0.72, 83, 40, 20, 20, 
187, 62.9000, 14.1405, 368.422, 53.4351, local, 0.368, 0.152, 0.362, 0.679, 0.056, 0.74, 85, 39, 20, 20, 
188, 63.1705, 14.2013, 370.006, 53.6649, distortional, 0.374, 0.206, 0.554, 0.868, 0.083, 1.12, 75, 31, 16, 16, 
189, 63.3116, 14.2330, 370.833, 53.7848, local, 0.245, 0.040, 0.293, 0.499, 0.058, 1.15, 79, 46, 23, 23, 
190, 63.7045, 14.3214, 373.135, 54.1186, local, 0.334, 0.174, 0.263, 0.851, 0.054, 0.60, 88, 36, 18, 18, 
