mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
1, 15.6848, 3.5261, 91.870, 13.3247, local, 0.170, 0.012, 0.037, 0.071, 0.003, 0.06, 6, 8, 4, 4, 
2, 15.6849, 3.5261, 91.870, 13.3247, local, 0.169, 0.012, 0.037, 0.071, 0.003, 0.06, 5, 7, 4, 4, 
3, 16.6526, 3.7437, 97.539, 14.1468, local, 0.169, 0.012, 0.053, 0.084, 0.008, 0.14, 14, 16, 8, 8, 
4, 16.6532, 3.7438, 97.542, 14.1473, local, 0.169, 0.013, 0.050, 0.083, 0.008, 0.14, 13, 15, 8, 8, 
5, 16.6710, 3.7478, 97.646, 14.1624, local, 0.169, 0.015, 0.055, 0.092, 0.007, 0.16, 14, 16, 8, 8, 
6, 16.6710, 3.7478, 97.647, 14.1625, local, 0.169, 0.015, 0.055, 0.092, 0.007, 0.15, 13, 15, 8, 8, 
7, 17.1358, 3.8523, 100.369, 14.5573, local, 0.169, 0.012, 0.015, 0.073, 0.034, 0.30, 7, 7, 7, 6, 
8, 17.1363, 3.8524, 100.372, 14.5577, local, 0.169, 0.012, 0.015, 0.073, 0.034, 0.30, 7, 7, 7, 7, 
9, 17.1913, 3.8648, 100.694, 14.6045, local, 0.169, 0.013, 0.066, 0.090, 0.008, 0.12, 6, 10, 5, 5, 
10, 17.2024, 3.8673, 100.759, 14.6139, local, 0.172, 0.018, 0.025, 0.084, 0.009, 0.17, 7, 9, 5, 5, 
11, 17.6731, 3.9731, 103.516, 15.0138, local, 0.169, 0.015, 0.032, 0.073, 0.039, 0.35, 22, 24, 12, 12, 
12, 17.6743, 3.9733, 103.523, 15.0147, local, 0.169, 0.013, 0.033, 0.072, 0.039, 0.35, 21, 25, 13, 13, 
13, 17.7530, 3.9910, 103.984, 15.0816, local, 0.188, 0.038, 0.152, 0.179, 0.031, 0.35, 14, 6, 3, 3, 
14, 17.7558, 3.9917, 104.001, 15.0840, local, 0.171, 0.030, 0.157, 0.182, 0.031, 0.35, 15, 13, 7, 7, 
15, 18.1649, 4.0836, 106.397, 15.4315, local, 0.168, 0.013, 0.026, 0.073, 0.046, 0.35, 18, 12, 6, 6, 
16, 18.2559, 4.1041, 106.930, 15.5088, local, 0.158, 0.014, 0.125, 0.138, 0.034, 0.28, 7, 9, 5, 5, 
17, 18.6302, 4.1882, 109.122, 15.8268, local, 0.160, 0.046, 0.329, 0.382, 0.095, 0.89, 18, 4, 2, 2, 
18, 18.6384, 4.1901, 109.170, 15.8338, local, 0.160, 0.044, 0.316, 0.367, 0.098, 0.87, 17, 3, 2, 2, 
19, 18.9675, 4.2641, 111.098, 16.1134, local, 0.161, 0.025, 0.175, 0.204, 0.192, 1.33, 19, 11, 6, 6, 
20, 18.9790, 4.2666, 111.165, 16.1231, local, 0.154, 0.025, 0.186, 0.224, 0.164, 1.36, 20, 4, 2, 2, 
21, 19.2309, 4.3233, 112.641, 16.3372, local, 0.157, 0.045, 0.304, 0.346, 0.145, 1.77, 35, 5, 3, 3, 
22, 19.2340, 4.3240, 112.658, 16.3397, local, 0.143, 0.047, 0.338, 0.381, 0.109, 1.42, 20, 4, 2, 2, 
23, 19.5207, 4.3884, 114.338, 16.5834, local, 0.157, 0.032, 0.241, 0.270, 0.182, 0.92, 17, 11, 6, 6, 
24, 19.6083, 4.4081, 114.851, 16.6578, local, 0.196, 0.057, 0.343, 0.393, 0.147, 1.82, 18, 6, 3, 3, 
