mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
54, 25.6928, 5.7760, 150.490, 21.8267, local, 0.191, 0.076, 0.421, 0.495, 0.120, 0.84, 37, 1, 1, 1, 
55, 25.9405, 5.8317, 151.941, 22.0371, distortional, 0.224, 0.121, 0.570, 0.659, 0.112, 1.04, 30, 10, 5, 5, 
56, 26.4410, 5.9442, 154.872, 22.4623, local, 0.166, 0.077, 0.403, 0.453, 0.108, 0.80, 19, 3, 2, 2, 
57, 26.7146, 6.0057, 156.474, 22.6947, local, 0.133, 0.057, 0.495, 0.562, 0.150, 1.25, 21, 5, 3, 3, 
58, 26.7531, 6.0143, 156.700, 22.7274, distortional, 0.134, 0.073, 0.549, 0.620, 0.123, 1.60, 22, 4, 2, 2, 
59, 27.6977, 6.2267, 162.233, 23.5299, local, 0.194, 0.070, 0.311, 0.321, 0.177, 0.84, 23, 9, 5, 5, 
60, 27.7198, 6.2316, 162.362, 23.5486, distortional, 0.142, 0.078, 0.503, 0.573, 0.205, 1.70, 16, 10, 5, 5, 
61, 27.9779, 6.2897, 163.874, 23.7679, local, 0.211, 0.068, 0.283, 0.287, 0.164, 0.97, 14, 8, 4, 4, 
62, 28.4082, 6.3864, 166.394, 24.1335, local, 0.167, 0.064, 0.321, 0.370, 0.174, 1.37, 43, 3, 2, 2, 
63, 28.7347, 6.4598, 168.307, 24.4108, local-hole, 0.649, 0.058, 0.381, 0.419, 0.230, 2.38, 16, 4, 2, 2, 
64, 28.7380, 6.4606, 168.326, 24.4137, local-hole, 0.488, 0.029, 0.347, 0.393, 0.289, 2.54, 15, 3, 2, 2, 
65, 28.9111, 6.4995, 169.340, 24.5607, local, 0.359, 0.137, 0.428, 0.490, 0.126, 1.15, 24, 2, 1, 1, 
66, 29.1225, 6.5470, 170.578, 24.7402, local, 0.147, 0.024, 0.238, 0.276, 0.302, 1.29, 13, 15, 8, 8, 
67, 29.5408, 6.6410, 173.029, 25.0957, local, 0.184, 0.071, 0.424, 0.479, 0.076, 0.62, 11, 5, 3, 3, 
68, 29.7037, 6.6777, 173.983, 25.2340, local-hole, 0.789, 0.104, 0.437, 0.465, 0.157, 2.15, 11, 4, 2, 2, 
69, 29.8187, 6.7035, 174.656, 25.3318, distortional, 0.237, 0.142, 0.666, 0.730, 0.117, 1.07, 42, 4, 3, 2, 
70, 29.8694, 6.7149, 174.953, 25.3748, local-hole, 0.409, 0.039, 0.301, 0.348, 0.371, 2.87, 44, 2, 2, 1, 
71, 30.2782, 6.8068, 177.348, 25.7221, distortional, 0.157, 0.104, 0.679, 0.743, 0.089, 0.90, 37, 3, 2, 2, 
72, 30.7555, 6.9141, 180.143, 26.1275, distortional, 0.163, 0.127, 0.702, 0.777, 0.095, 0.94, 36, 4, 2, 2, 
73, 31.4757, 7.0760, 184.362, 26.7394, local, 0.152, 0.063, 0.321, 0.337, 0.176, 1.32, 45, 5, 3, 3, 
74, 31.7920, 7.1471, 186.214, 27.0081, distortional, 0.171, 0.142, 0.829, 0.914, 0.147, 1.05, 38, 10, 5, 5, 
75, 32.4001, 7.2838, 189.776, 27.5247, local, 0.147, 0.063, 0.342, 0.369, 0.183, 1.30, 31, 5, 3, 3, 
76, 32.8429, 7.3834, 192.370, 27.9009, local, 0.218, 0.081, 0.342, 0.354, 0.175, 1.09, 22, 2, 1, 1, 
