mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
118, 48.5185, 10.9074, 284.186, 41.2176, local, 0.384, 0.364, 0.853, 1.000, 0.061, 0.96, 5, 3, 2, 2, 
119, 48.5612, 10.9170, 284.436, 41.2539, local, 0.152, 0.029, 0.021, 0.288, 0.001, 0.03, 5, 11, 6, 6, 
120, 48.5614, 10.9170, 284.437, 41.2541, local, 0.154, 0.029, 0.023, 0.289, 0.002, 0.03, 5, 10, 5, 5, 
121, 49.1586, 11.0513, 287.935, 41.7614, distortional, 0.119, 0.102, 0.751, 0.807, 0.135, 1.06, 8, 8, 4, 4, 
122, 49.5785, 11.1457, 290.394, 42.1181, local, 0.394, 0.339, 0.855, 1.000, 0.067, 0.77, 7, 3, 2, 2, 
123, 49.5868, 11.1476, 290.443, 42.1252, global, 0.901, 0.542, 0.549, 0.603, 0.093, 1.08, 10, 2, 1, 1, weak-axis flexure
124, 50.1118, 11.2656, 293.518, 42.5712, distortional, 0.231, 0.141, 0.720, 0.787, 0.115, 1.15, 7, 3, 2, 2, 
125, 50.6682, 11.3907, 296.777, 43.0439, local, 0.206, 0.039, 0.068, 0.374, 0.127, 0.62, 9, 27, 13, 15, 
126, 50.6696, 11.3910, 296.785, 43.0451, local, 0.211, 0.037, 0.064, 0.369, 0.127, 0.62, 7, 28, 16, 14, 
127, 51.0945, 11.4865, 299.274, 43.4061, distortional, 0.208, 0.132, 0.634, 0.699, 0.169, 1.40, 14, 6, 3, 3, 
128, 51.2513, 11.5218, 300.193, 43.5393, distortional, 0.213, 0.206, 0.701, 0.785, 0.139, 1.10, 9, 9, 5, 5, 
129, 51.2738, 11.5268, 300.325, 43.5584, local, 0.174, 0.035, 0.043, 0.385, 0.015, 0.28, 10, 39, 22, 23, 
130, 51.2742, 11.5269, 300.327, 43.5587, local, 0.174, 0.032, 0.035, 0.379, 0.015, 0.27, 12, 40, 18, 22, 
131, 51.3893, 11.5528, 301.001, 43.6565, local, 0.178, 0.034, 0.070, 0.399, 0.016, 0.22, 14, 33, 21, 20, 
132, 51.3894, 11.5528, 301.001, 43.6565, local, 0.178, 0.034, 0.072, 0.399, 0.016, 0.22, 16, 34, 20, 20, 
133, 51.7055, 11.6239, 302.853, 43.9251, local, 0.195, 0.048, 0.072, 0.439, 0.082, 0.51, 11, 57, 29, 29, 
134, 51.7171, 11.6265, 302.921, 43.9350, local, 0.189, 0.042, 0.075, 0.412, 0.080, 0.49, 14, 52, 26, 26, 
135, 51.9538, 11.6797, 304.307, 44.1361, local, 0.130, 0.080, 0.450, 0.481, 0.212, 1.41, 15, 9, 5, 5, 
136, 52.0368, 11.6983, 304.793, 44.2065, local, 0.182, 0.033, 0.091, 0.349, 0.058, 0.37, 15, 55, 28, 28, 
137, 52.0716, 11.7062, 304.997, 44.2361, local, 0.178, 0.034, 0.085, 0.351, 0.060, 0.35, 16, 54, 27, 27, 
138, 52.2523, 11.7468, 306.056, 44.3896, local, 0.195, 0.055, 0.105, 0.469, 0.029, 0.47, 9, 45, 23, 23, 
139, 52.2681, 11.7503, 306.148, 44.4030, local, 0.209, 0.057, 0.140, 0.484, 0.038, 0.42, 10, 40, 20, 20, 
140, 52.3068, 11.7590, 306.375, 44.4359, local, 0.185, 0.052, 0.139, 0.460, 0.042, 0.44, 12, 43, 21, 23, 
141, 52.3251, 11.7632, 306.482, 44.4515, global, 0.761, 0.334, 0.477, 0.520, 0.168, 1.21, 12, 4, 2, 2, weak-axis flexure
142, 52.3445, 11.7675, 306.596, 44.4679, local, 0.192, 0.065, 0.145, 0.506, 0.042, 0.44, 12, 40, 20, 20, 
143, 52.5027, 11.8031, 307.523, 44.6024, local, 0.214, 0.063, 0.146, 0.460, 0.077, 0.69, 10, 46, 23, 23, 
144, 52.7796, 11.8653, 309.144, 44.8376, local, 0.209, 0.067, 0.101, 0.381, 0.110, 0.85, 9, 43, 22, 22, 
